freq,premier_pay,dealer,an,marque,modele,depot,prix_auto,pour_depot,km,creation_dossier,sexe,code_postal,ristourne,cheque_dealer,sommes_des_couts,terme,age,class
Par jour(s),91.14,120_dealer,2008.0,nissan,sentra,1000.0,5995.0,0.16680567139282734,101037,2017-07-05,1.0,h8r,400.0,5754.65,5872.25,156,35.0,1
Par jour(s),104.23,82_dealer,2003.0,ford,mustang,2000.0,8000.0,0.25,0,,1.0,j7n,0.0,0.0,6730.333333333333,130,,1
Par jour(s),62.39,109_dealer,2008.0,pontiac,wave,600.0,2999.0,0.20006668889629878,0,2015-07-13,0.0,h8y,0.0,2548.95,2729.3333333333335,104,28.0,1
Par jour(s),55.34,181_dealer,2002.0,pontiac,sunfire,300.0,1485.0,0.20202020202020202,0,,0.0,j0n,0.0,1259.25,1331.3333333333333,39,,1
Par jour(s),69.13,104_dealer,2007.0,chevrolet,cobalt,300.0,2495.0,0.12024048096192384,0,,0.0,j0k,0.0,2319.75,2542.0,78,,1
Par jour(s),120.42,223_dealer,2008.0,chrysler,townandcountry,1800.0,9500.0,0.18947368421052632,0,,0.0,j0x,0.0,8575.0,8447.0,156,,1
Par jour(s),500.0,109_dealer,2005.0,jeep,grandcherokee,300.0,2295.0,0.13071895424836602,276000,,1.0,h9r,0.0,2109.75,2260.403333333333,20,51.0,1
Par jour(s),140.54,228_dealer,2000.0,dodge,ram1500,300.0,2300.0,0.13043478260869565,0,,1.0,j0k,0.0,2115.0,2226.3333333333335,26,,1
Par jour(s),178.21,60_dealer,2005.0,jeep,grandcherokee,500.0,4995.0,0.1001001001001001,0,,0.0,j7c,0.0,4744.75,5242.0,65,,1
Par jour(s),88.06,142_dealer,2006.0,kia,sorento,500.0,3900.0,0.1282051282051282,0,,1.0,g8m,0.0,3595.0,1747.0,104,,1
Par jour(s),283.62,73_dealer,2007.0,lexus,rx350,2000.0,9999.0,0.2000200020002,0,,1.0,h4c,0.0,9073.83,8746.0,78,,1
Par jour(s),138.8,235_dealer,2000.0,volkswagen,cabriolet,1000.0,2350.0,0.425531914893617,0,,0.0,j6z,0.0,1467.5,1543.0,20,,1
Par jour(s),71.89,252_dealer,2008.0,saturn,vue,500.0,4348.77,0.11497503891905066,170000,,1.0,g6p,0.0,4066.21,4660.889999999999,156,,1
Par jour(s),68.21,181_dealer,2006.0,huyndai,elantra,300.0,2985.0,0.10050251256281408,0,,0.0,j6w,0.0,3294.15,3032.0,104,,1
Par jour(s),74.46,0_dealer,2010.0,nissan,sentra,500.0,5195.0,0.09624639076034648,0,,0.0,h4l,0.0,3554.75,4042.0,156,,1
Par jour(s),161.9,143_dealer,2006.0,chrysler,300,700.0,3500.0,0.2,0,2016-02-19,0.0,j0l,0.0,2975.0,3147.0,52,48.0,1
Par jour(s),167.17,24_dealer,2005.0,bmw,330,1000.0,4900.0,0.20408163265306123,0,2016-04-22,0.0,j6a,400.0,4545.0,4647.0,65,43.0,1
Par jour(s),146.03,8_dealer,2004.0,kia,sorento,797.6,3988.0,0.2,0,,1.0,g0x,0.0,0.0,6063.8,52,,1
Mensuelle,298.95,181_dealer,,chevrolet,cruze,3500.0,6900.0,0.5072463768115942,112900,2017-07-07,1.0,j0j,400.0,4204.9,4602.860000000001,36,43.0,1
